input_image,closest_images
/workspace/CloSe/data/close_image_scan/10001_1923.png,"['/workspace/image_retrieval_dataset/14378/000.png', '/workspace/image_retrieval_dataset/13804/002.png', '/workspace/image_retrieval_dataset/10780/003.png', '/workspace/image_retrieval_dataset/11192/001.png', '/workspace/image_retrieval_dataset/11214/000.png']"
/workspace/CloSe/data/close_image_scan/10005_2038.png,"['/workspace/image_retrieval_dataset/12218/002.png', '/workspace/image_retrieval_dataset/11468/003.png', '/workspace/image_retrieval_dataset/13095/003.png', '/workspace/image_retrieval_dataset/14860/002.png', '/workspace/image_retrieval_dataset/13804/002.png']"
/workspace/CloSe/data/close_image_scan/10009_2154.png,"['/workspace/image_retrieval_dataset/10538/001.png', '/workspace/image_retrieval_dataset/13375/003.png', '/workspace/image_retrieval_dataset/12218/002.png', '/workspace/image_retrieval_dataset/13804/002.png', '/workspace/image_retrieval_dataset/11533/001.png']"
/workspace/CloSe/data/close_image_scan/10010_2213.png,"['/workspace/image_retrieval_dataset/12303/000.png', '/workspace/image_retrieval_dataset/11016/003.png', '/workspace/image_retrieval_dataset/11770/001.png', '/workspace/image_retrieval_dataset/14827/003.png', '/workspace/image_retrieval_dataset/13396/002.png']"
/workspace/CloSe/data/close_image_scan/10011_2219.png,"['/workspace/image_retrieval_dataset/13804/002.png', '/workspace/image_retrieval_dataset/11419/003.png', '/workspace/image_retrieval_dataset/12218/002.png', '/workspace/image_retrieval_dataset/10104/000.png', '/workspace/image_retrieval_dataset/10181/003.png']"
/workspace/CloSe/data/close_image_scan/10012_2321.png,"['/workspace/image_retrieval_dataset/13226/001.png', '/workspace/image_retrieval_dataset/34934/001.png', '/workspace/image_retrieval_dataset/10663/003.png', '/workspace/image_retrieval_dataset/12303/000.png', '/workspace/image_retrieval_dataset/14259/000.png']"
/workspace/CloSe/data/close_image_scan/10013_2644.png,"['/workspace/image_retrieval_dataset/11476/003.png', '/workspace/image_retrieval_dataset/14259/000.png', '/workspace/image_retrieval_dataset/14207/002.png', '/workspace/image_retrieval_dataset/13939/002.png', '/workspace/image_retrieval_dataset/11713/002.png']"
/workspace/CloSe/data/close_image_scan/10014_2421.png,"['/workspace/image_retrieval_dataset/14064/003.png', '/workspace/image_retrieval_dataset/13804/002.png', '/workspace/image_retrieval_dataset/10538/001.png', '/workspace/image_retrieval_dataset/12459/003.png', '/workspace/image_retrieval_dataset/13388/003.png']"
/workspace/CloSe/data/close_image_scan/10015_2572.png,"['/workspace/image_retrieval_dataset/12218/002.png', '/workspace/image_retrieval_dataset/11914/003.png', '/workspace/image_retrieval_dataset/11419/003.png', '/workspace/image_retrieval_dataset/11533/001.png', '/workspace/image_retrieval_dataset/13804/002.png']"
/workspace/CloSe/data/close_image_scan/10018_4016.png,"['/workspace/image_retrieval_dataset/14761/003.png', '/workspace/image_retrieval_dataset/11734/003.png', '/workspace/image_retrieval_dataset/30173/003.png', '/workspace/image_retrieval_dataset/12128/000.png', '/workspace/image_retrieval_dataset/13375/003.png']"
