input_image,closest_images
/workspace/CloSe/data/close_image_scan/10001_1923.png,"['/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/13065_003.png']"
/workspace/CloSe/data/close_image_scan/10005_2038.png,"['/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/12884_001.png']"
/workspace/CloSe/data/close_image_scan/10009_2154.png,"['/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/11486_000.png']"
/workspace/CloSe/data/close_image_scan/10010_2213.png,"['/workspace/image_retrieval_dataset_new/14827_003.png', '/workspace/image_retrieval_dataset_new/14884_000.png', '/workspace/image_retrieval_dataset_new/14718_002.png', '/workspace/image_retrieval_dataset_new/11759_002.png', '/workspace/image_retrieval_dataset_new/12787_000.png']"
/workspace/CloSe/data/close_image_scan/10011_2219.png,"['/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/13804_002.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/10832_002.png']"
/workspace/CloSe/data/close_image_scan/10012_2321.png,"['/workspace/image_retrieval_dataset_new/14827_003.png', '/workspace/image_retrieval_dataset_new/14884_000.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/11486_000.png', '/workspace/image_retrieval_dataset_new/14380_002.png']"
/workspace/CloSe/data/close_image_scan/10013_2644.png,"['/workspace/image_retrieval_dataset_new/11405_001.png', '/workspace/image_retrieval_dataset_new/13939_002.png', '/workspace/image_retrieval_dataset_new/14567_003.png', '/workspace/image_retrieval_dataset_new/14257_003.png', '/workspace/image_retrieval_dataset_new/12110_001.png']"
/workspace/CloSe/data/close_image_scan/10014_2421.png,"['/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/13804_002.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/11486_000.png']"
/workspace/CloSe/data/close_image_scan/10015_2572.png,"['/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/13804_002.png', '/workspace/image_retrieval_dataset_new/14884_000.png']"
/workspace/CloSe/data/close_image_scan/10018_4016.png,"['/workspace/image_retrieval_dataset_new/14827_003.png', '/workspace/image_retrieval_dataset_new/14884_000.png', '/workspace/image_retrieval_dataset_new/14827_000.png', '/workspace/image_retrieval_dataset_new/14761_003.png', '/workspace/image_retrieval_dataset_new/14043_003.png']"
/workspace/CloSe/data/close_image_scan/10020_2774.png,"['/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/13804_002.png', '/workspace/image_retrieval_dataset_new/33253_003.png']"
/workspace/CloSe/data/close_image_scan/10021_2853.png,"['/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/13804_002.png']"
/workspace/CloSe/data/close_image_scan/10022_2915.png,"['/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/13215_002.png']"
/workspace/CloSe/data/close_image_scan/10023_2976.png,"['/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/13804_002.png', '/workspace/image_retrieval_dataset_new/10202_003.png']"
/workspace/CloSe/data/close_image_scan/10025_3124.png,"['/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/12524_001.png']"
/workspace/CloSe/data/close_image_scan/10026_3189.png,"['/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/13804_002.png']"
/workspace/CloSe/data/close_image_scan/10027_3256.png,"['/workspace/image_retrieval_dataset_new/14827_003.png', '/workspace/image_retrieval_dataset_new/13810_002.png', '/workspace/image_retrieval_dataset_new/14925_001.png', '/workspace/image_retrieval_dataset_new/11214_003.png', '/workspace/image_retrieval_dataset_new/14884_000.png']"
/workspace/CloSe/data/close_image_scan/10028_3334.png,"['/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/13804_002.png']"
/workspace/CloSe/data/close_image_scan/10029_3362.png,"['/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/12524_001.png']"
/workspace/CloSe/data/close_image_scan/10030_3485.png,"['/workspace/image_retrieval_dataset_new/14827_003.png', '/workspace/image_retrieval_dataset_new/14718_002.png', '/workspace/image_retrieval_dataset_new/12787_000.png', '/workspace/image_retrieval_dataset_new/11978_002.png', '/workspace/image_retrieval_dataset_new/14189_001.png']"
/workspace/CloSe/data/close_image_scan/10031_3531.png,"['/workspace/image_retrieval_dataset_new/14827_003.png', '/workspace/image_retrieval_dataset_new/14884_000.png', '/workspace/image_retrieval_dataset_new/14827_000.png', '/workspace/image_retrieval_dataset_new/14761_003.png', '/workspace/image_retrieval_dataset_new/32888_000.png']"
/workspace/CloSe/data/close_image_scan/10032_3577.png,"['/workspace/image_retrieval_dataset_new/14827_003.png', '/workspace/image_retrieval_dataset_new/14718_002.png', '/workspace/image_retrieval_dataset_new/14189_001.png', '/workspace/image_retrieval_dataset_new/12787_000.png', '/workspace/image_retrieval_dataset_new/14380_002.png']"
/workspace/CloSe/data/close_image_scan/10033_3734.png,"['/workspace/image_retrieval_dataset_new/10832_002.png', '/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/11486_000.png']"
/workspace/CloSe/data/close_image_scan/10034_3811.png,"['/workspace/image_retrieval_dataset_new/14827_003.png', '/workspace/image_retrieval_dataset_new/14884_000.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/14380_002.png', '/workspace/image_retrieval_dataset_new/14449_002.png']"
/workspace/CloSe/data/close_image_scan/10035_3889.png,"['/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/14870_002.png']"
/workspace/CloSe/data/close_image_scan/10036_3966.png,"['/workspace/image_retrieval_dataset_new/14827_003.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/14449_002.png', '/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/10546_000.png']"
/workspace/CloSe/data/close_image_scan/10037_4079.png,"['/workspace/image_retrieval_dataset_new/14827_003.png', '/workspace/image_retrieval_dataset_new/14884_000.png', '/workspace/image_retrieval_dataset_new/14187_002.png', '/workspace/image_retrieval_dataset_new/13810_002.png', '/workspace/image_retrieval_dataset_new/12787_000.png']"
/workspace/CloSe/data/close_image_scan/10038_4102.png,"['/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/11486_000.png']"
/workspace/CloSe/data/close_image_scan/10042_4656.png,"['/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/13804_002.png', '/workspace/image_retrieval_dataset_new/13065_003.png']"
/workspace/CloSe/data/close_image_scan/10043_4596.png,"['/workspace/image_retrieval_dataset_new/14827_003.png', '/workspace/image_retrieval_dataset_new/14884_000.png', '/workspace/image_retrieval_dataset_new/14827_000.png', '/workspace/image_retrieval_dataset_new/12874_000.png', '/workspace/image_retrieval_dataset_new/14761_003.png']"
/workspace/CloSe/data/close_image_scan/10045_4849.png,"['/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/10202_003.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/13804_002.png']"
/workspace/CloSe/data/close_image_scan/10046_4970.png,"['/workspace/image_retrieval_dataset_new/14093_003.png', '/workspace/image_retrieval_dataset_new/14365_001.png', '/workspace/image_retrieval_dataset_new/14265_002.png', '/workspace/image_retrieval_dataset_new/10388_000.png', '/workspace/image_retrieval_dataset_new/14965_000.png']"
/workspace/CloSe/data/close_image_scan/10049_5095.png,"['/workspace/image_retrieval_dataset_new/14884_002.png', '/workspace/image_retrieval_dataset_new/32888_000.png', '/workspace/image_retrieval_dataset_new/33253_003.png', '/workspace/image_retrieval_dataset_new/13804_002.png', '/workspace/image_retrieval_dataset_new/10202_003.png']"
